TYPE_INTER,MACHINE,KEY,MARQUE,METROPOLE,Type_tarif,Montant,PROD
INSTALLATION PROG - EXPRESSO,MILANO,INSTALLATION PROG - EXPRESSO_MILANO,EXPRESSO,1,Tarif normal,82,1
INSTALLATION,LAVE VAISSELLE,INSTALLATION_LAVE VAISSELLE,EXPRESSO,0,Remise niv1,86,1
INSTALLATION,LAVE VAISSELLE,INSTALLATION_LAVE VAISSELLE,EXPRESSO,0,Remise niv2,63,1
INSTALLATION,LAVE VAISSELLE,INSTALLATION_LAVE VAISSELLE,EXPRESSO,0,Tarif normal,115,1
INSTALLATION,LAVE VAISSELLE,INSTALLATION_LAVE VAISSELLE,EXPRESSO,1,Remise niv1,86,1
INSTALLATION,LAVE VAISSELLE,INSTALLATION_LAVE VAISSELLE,EXPRESSO,1,Remise niv2,63,1
INSTALLATION,LAVE VAISSELLE,INSTALLATION_LAVE VAISSELLE,EXPRESSO,1,Tarif normal,115,1
PREVENTIVE,LAVE VAISSELLE,PREVENTIVE_LAVE VAISSELLE,EXPRESSO,0,Remise niv1,71,1
PREVENTIVE,LAVE VAISSELLE,PREVENTIVE_LAVE VAISSELLE,EXPRESSO,0,Remise niv2,52,1
PREVENTIVE,LAVE VAISSELLE,PREVENTIVE_LAVE VAISSELLE,EXPRESSO,0,Tarif normal,95,1
PREVENTIVE,MILANO,PREVENTIVE_MILANO,EXPRESSO,1,Remise niv1,82,1
PREVENTIVE,MILANO,PREVENTIVE_MILANO,EXPRESSO,1,Remise niv2,82,1
PREVENTIVE,MILANO,PREVENTIVE_MILANO,EXPRESSO,1,Tarif normal,82,1
PREVENTIVE,MILANO,PREVENTIVE_MILANO,EXPRESSO,0,Remise niv1,87,1
PREVENTIVE,MILANO,PREVENTIVE_MILANO,EXPRESSO,0,Remise niv2,87,1
PREVENTIVE,MILANO,PREVENTIVE_MILANO,EXPRESSO,0,Tarif normal,87,1
CURATIVE,FONTAINE A EAU,CURATIVE_FONTAINE A EAU,FONTAINCO,0,Remise niv1,120,1
CURATIVE,FONTAINE A EAU,CURATIVE_FONTAINE A EAU,FONTAINCO,0,Remise niv2,98,1
CURATIVE,FONTAINE A EAU,CURATIVE_FONTAINE A EAU,FONTAINCO,0,Tarif normal,150,1
CURATIVE,FONTAINE A EAU,CURATIVE_FONTAINE A EAU,FONTAINCO,1,Remise niv1,96,1
CURATIVE,FONTAINE A EAU,CURATIVE_FONTAINE A EAU,FONTAINCO,1,Remise niv2,77,1
CURATIVE,FONTAINE A EAU,CURATIVE_FONTAINE A EAU,FONTAINCO,1,Tarif normal,120,1
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,FONTAINCO,0,Remise niv1,120,1
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,FONTAINCO,0,Remise niv2,98,1
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,FONTAINCO,0,Tarif normal,150,1
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,FONTAINCO,1,Remise niv1,96,1
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,FONTAINCO,1,Remise niv2,77,1
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,FONTAINCO,1,Tarif normal,120,1
INSTALLATION SOUS COMPTOIR,FONTAINE A EAU,INSTALLATION SOUS COMPTOIR_FONTAINE A EAU,FONTAINCO,0,Remise niv1,176,1
INSTALLATION SOUS COMPTOIR,FONTAINE A EAU,INSTALLATION SOUS COMPTOIR_FONTAINE A EAU,FONTAINCO,0,Remise niv2,143,1
INSTALLATION SOUS COMPTOIR,FONTAINE A EAU,INSTALLATION SOUS COMPTOIR_FONTAINE A EAU,FONTAINCO,0,Tarif normal,220,1
INSTALLATION SOUS COMPTOIR,FONTAINE A EAU,INSTALLATION SOUS COMPTOIR_FONTAINE A EAU,FONTAINCO,1,Remise niv1,152,1
INSTALLATION SOUS COMPTOIR,FONTAINE A EAU,INSTALLATION SOUS COMPTOIR_FONTAINE A EAU,FONTAINCO,1,Remise niv2,124,1
INSTALLATION SOUS COMPTOIR,FONTAINE A EAU,INSTALLATION SOUS COMPTOIR_FONTAINE A EAU,FONTAINCO,1,Tarif normal,190,1
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,FONTAINCO,0,Remise niv1,96,1
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,FONTAINCO,0,Remise niv2,77,1
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,FONTAINCO,0,Tarif normal,120,1
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,FONTAINCO,1,Remise niv1,120,1
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,FONTAINCO,1,Remise niv2,98,1
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,FONTAINCO,1,Tarif normal,150,1
LIVRAISON,FONTAINE A EAU,LIVRAISON_FONTAINE A EAU,FONTAINCO,0,Remise niv1,15,1
LIVRAISON,FONTAINE A EAU,LIVRAISON_FONTAINE A EAU,FONTAINCO,0,Remise niv2,11,1
LIVRAISON,FONTAINE A EAU,LIVRAISON_FONTAINE A EAU,FONTAINCO,0,Tarif normal,20,1
LIVRAISON,FONTAINE A EAU,LIVRAISON_FONTAINE A EAU,FONTAINCO,1,Remise niv1,15,1
LIVRAISON,FONTAINE A EAU,LIVRAISON_FONTAINE A EAU,FONTAINCO,1,Remise niv2,11,1
LIVRAISON,FONTAINE A EAU,LIVRAISON_FONTAINE A EAU,FONTAINCO,1,Tarif normal,20,1
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,FONTAINCO,0,Remise niv1,120,1
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,FONTAINCO,0,Remise niv2,98,1
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,FONTAINCO,0,Tarif normal,150,1
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,FONTAINCO,1,Remise niv1,96,1
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,FONTAINCO,1,Remise niv2,77,1
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,FONTAINCO,1,Tarif normal,120,1
CURATIVE,AGUILA2,CURATIVE_AGUILA2,NESHU,0,Remise niv1,170,2
CURATIVE,AGUILA2,CURATIVE_AGUILA2,NESHU,0,Remise niv2,170,2
CURATIVE,AGUILA2,CURATIVE_AGUILA2,NESHU,0,Tarif normal,170,2
CURATIVE,AGUILA2,CURATIVE_AGUILA2,NESHU,1,Remise niv1,170,2
CURATIVE,AGUILA2,CURATIVE_AGUILA2,NESHU,1,Remise niv2,170,2
CURATIVE,AGUILA2,CURATIVE_AGUILA2,NESHU,1,Tarif normal,170,2
CURATIVE,AGUILA4,CURATIVE_AGUILA4,NESHU,0,Remise niv1,170,2
CURATIVE,AGUILA4,CURATIVE_AGUILA4,NESHU,0,Remise niv2,170,2
CURATIVE,AGUILA4,CURATIVE_AGUILA4,NESHU,0,Tarif normal,170,2
